ax_mean,ax_std,ax_min,ax_max,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_energy,az_mean,az_std,az_min,az_max,az_energy,gx_mean,gx_std,gx_min,gx_max,gx_energy,gy_mean,gy_std,gy_min,gy_max,gy_energy,gz_mean,gz_std,gz_min,gz_max,gz_energy,sma,label
-83.96,65.74748710256162,-240,112,11350.4,65.36,110.40387437670353,-224,472,16400,15151.68,133.60249147618177,14820,15468,229591167.2,-241.93,181.26347491064882,-730,429,91222.29,17.385,39.92639930934225,-127,123,1888.385,-206.95,25.534635065723936,-269,-140,43477.06,5113.1866666666665,0
-86.9,65.60541404304064,-324,92,11834.16,55.3,117.63118411963274,-264,392,16826,15156.54,148.23242783991827,14476,15508,229742567.8,-226.54,219.0218281,-836,518,99051.08,15.4,45.89117562233506,-145,132,2332.63,-206.49,34.12598444104363,-378,-4,43796.88,5115.846666666666,0
-90.32,66.48729504206085,-324,92,12556.16,104.78,121.89900919290139,-264,392,25763.92,15171.78,149.3765657389398,14476,15508,230205110.2,-177.96,240.09689919910488,-836,792,89028.05,4.33,49.46214328241804,-198,132,2453.02,-203.25,37.432250357601674,-378,-4,42704.73,5132.693333333334,0
-106.56,67.05166687,-292,180,15828.48,78.02,109.54597758945853,-148,388,18027.44,15178,133.99407472086781,14792,15528,230389548.6,-162.46,219.4414526833499,-751,792,74307.03,1.285,44.72443572314545,-198,125,1991.925,-202.76,30.354395838719444,-334,-101,42028.4,5131.086666666667,0
-122.66,68.91232795896259,-296,180,19770.64,34.04,94.99303544955072,-196,324,10137.28,15155.7,144.68065683536122,14604,15528,229716070.3,-166.115,186.72281279772827,-587,540,62285.275,4.37,40.63890627856006,-121,103,1662.36,-205.825,27.622989023874034,-334,-125,43123.145,5119.906666666667,0
-146.94,62.72662550893913,-296,20,25506.32,-15.82,97.14335674040696,-248,268,9639.92,15146.44,151.01121925773774,14604,15504,229437335,-197.655,173.88518124406522,-624,408,69152.375,9.29,40.46260013951465,-121,109,1715.34,-207.385,26.683455717826845,-287,-142,43716.985,5124.2266666666665,0
-168.92,65.20931585572616,-396,-8,32764.96,-70.4,87.97806944641141,-400,152,12657.6,15157.02,165.23642145385008,14508,15652,229762421.8,-198.4,209.75518153529492,-1071,723,83139.81,9.24,45.33861877,-120,159,2130.69,-206.45,28.929432422733555,-379,-139,43454.33,5138.993333333333,0
-184.52,65.02855654117771,-396,-8,38255.2,-115.72,96.71385344011571,-400,152,22697.92,15155.02,157.2586756121149,14508,15652,229699237.8,-171.305,210.15070441908873,-1071,723,73287.905,4.555,44.1319057,-120,159,1958.635,-207.89,28.770935571655325,-379,-139,44041.88,5155.366666666667,0
-191.8,65.09336163268276,-372,-36,41003.2,-177.42,87.77577417866115,-408,48,39143.92,15158.7,141.45656506148796,14852,15868,229806095.6,-193.825,193.02837652979588,-723,328,74641.785,8.04,39.89683177809547,-128,101,1648.44,-210.045,25.54379380612931,-286,-127,44768.125,5176.173333333333,0
-192.28,68.56637909142164,-392,-48,41649.44,-175.06,99.50953288845442,-408,160,40498.64,15180.3,158.52685519840315,14800,15868,230466513.2,-171.97,238.8308185714262,-788,900,86328.64,2.95,47.68044277390446,-139,111,2270.76,-210.68,28.348115958418823,-307,-27,45185.66,5185.413333333333,0
